,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
184,8069,man saved from bear attack when his justin bieber ringtones goes off sending bear fleeing,on his phone and was,<unknown> was able to call for help on his phone and was rescued by fishermen,agree,agree
185,8106,robot vacuum cleaner attacks south korea <unknown> 's hair      ,she was still unable to,she was still unable to free herself from the vacuum and made a desperate rescue,agree,agree
186,8140,this third <unknown> is probably only real in our hearts     ,claims that the surgery is,but now florida woman <unknown> <unknown> is facing claims that the surgery is a fake,agree,agree
187,8145,<unknown> to break into <number> companies         ,<unknown> <unknown> of one of,the move will result in a <unknown> <unknown> of one of technology 's most important,agree,agree
188,8192,saudi oil <unknown> fire under control security source says      ,    ,              ,agree,agree
189,8220,apple is going to shut down beats music       ,    ,              ,agree,agree
190,8255,these men <unknown> their <unknown> mothers is the best payback ever    ,interviews with real <unknown> who,this performance by actors is based on interviews with real <unknown> who once harassed by,disagree,disagree
191,8271,hungry florida cat defies death digs its way out of grave to return home video,wound up on a neighbors,<unknown> wound up on a neighbors front yard after he dug himself out of the,agree,agree
192,8279,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,the cat appeared to be,the cat appeared to be lifeless and the owner buried him five days later the,agree,agree
193,8293,tail of survival buried cat believed dead <unknown> back to life    ,<unknown> will be back home,despite the difficult days ahead the humane society expects that <unknown> will be back home,agree,agree
194,8347,jilted wife chops off <unknown> <unknown> manhood twice       ,aware of what happened was,the first we were aware of what happened was when someone came into the <unknown>,agree,agree
195,8509,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,that the <unknown> feeds on,legend has it that the <unknown> feeds on <unknown> babies     ,agree,agree
196,8601,no the world 's oldest tree has not been accidentally cut down by <unknown> in,accidentally cut down worlds oldest,example <unknown> accidentally cut down worlds oldest tree in amazon forest    ,agree,agree
197,8631,pregnant woman loses eye after police shoot bean bag at her    ,on her facebook page where,<unknown> subsequently vowed to seek justice for the incident on her facebook page where she,agree,agree
198,8648,jealous wife who chopped off husbands penis for cheating on her chops it off a,jilted wife who chopped her,a jilted wife who chopped her cheating husband 's manhood off twice is facing jail,agree,agree
199,8658,rise of the <unknown> cat pet who was killed and buried by his owner climbed,personally i like my florida,i dont know about you guys but personally i like my florida stories when they,agree,agree
200,8701,saudi arabia <unknown> <unknown> eyes          ,women to cover their eyes,the men of the committee will interfere to force women to cover their eyes especially,agree,agree
201,8732,<unknown> to split in <number> companies         ,fourth year of its five-year,the firm is now in the fourth year of its five-year turnaround plan aimed at,agree,agree
202,8775,justin bieber <unknown> saves russian fisherman from bear attack      ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
203,8881,<unknown> cat <unknown> way out of grave and into our hearts    ,that the miracle <unknown> has,<unknown> tell fox <number> in tampa bay that the miracle <unknown> has severe trauma to,agree,agree
204,8897,<unknown> expansion plan report is complete fabrication <unknown>       ,prospective owners may have to,but the commissioner said if it ever does prospective owners may have to pay up,agree,agree
205,8908,after finding out <unknown> that her <unknown> was unwell this bride married a wedding guest,extended his arms to do,just as he extended his arms to do that <unknown> had an <unknown> fit falling,agree,agree
206,8981,<unknown> <unknown> doctor denies selfie          ,    ,              ,agree,agree
207,9038,children in dog fighting horror          ,of between <unknown> and <unknown>,other children placed bets of between <unknown> and <unknown>      ,agree,agree
208,9047,transgender teen leaves note on <unknown> blaming christian parents for suicide    ,for the better the life,please dont be sad its for the better the life i wouldve lived isnt worth,agree,agree
209,9048,<unknown> cat to get gender assignment surgery        ,both male and female genitalia,the cat has both male and female genitalia       ,agree,agree
210,9067,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,<unknown> republic russia <unknown> <unknown>,fishing in the <unknown> republic russia <unknown> <unknown> is lucky to be alive after his,agree,agree
211,9140,no joke <unknown> billed for missing friends birthday party      ,says he thought the <unknown>,derek <unknown> says he thought the <unknown> was a joke at first   ,agree,agree
212,9280,even though you 're gay i will always treat you the same way as i,    ,              ,agree,agree
213,9306,<unknown> woman theyre not fake          ,a massage <unknown> from tampa,a massage <unknown> from tampa fla has spent <number> to get a third <unknown> <unknown>,agree,agree
214,9317,passenger tossed after flipping out over staffs merry christmas      ,<unknown>    ,bah <unknown>             ,agree,agree
215,9318,<unknown> expansion ahead no says <unknown> <unknown>        ,    ,              ,agree,agree
216,9346,<unknown> woman a fake           ,    ,              ,agree,agree
217,9372,lisa <unknown> denies slamming bill <unknown> on twitter       ,posts made in her name,any posts made in her name were made by <unknown> with unverified accounts she also,agree,agree
218,9451,passenger headed to dallas rages over merry christmas removed from plane    ,want to be able fit,want to be able fit into that sleek dress by christmas    ,agree,agree
219,9474,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,<unknown> they lit for <unknown>,the family met with <unknown> and presented her with a <unknown> they lit for <unknown>,agree,agree
220,9595,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,legend the seventh son born,according to an old argentinian legend the seventh son born after six boys with no,agree,agree
221,9598,<unknown> <unknown> doctor denies selfie          ,to the doctor <number> say,sources close to the doctor <number> say reports she took photo are lies  ,agree,agree
222,9655,argentina 's president just adopted a son so he wo n't turn into a <unknown>,son born to a family,according to legend the seventh son born to a family turns into a ferocious el,agree,agree
223,9700,argentinian president <unknown> <unknown> <unknown> jewish boy to protect him from <unknown> <unknown>  ,<unknown> they lit for <unknown>,the family met with <unknown> and presented her with a <unknown> they lit for <unknown>,agree,agree
224,9701,justin bieber saves man from bear attack        ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
225,9838,a justin bieber <unknown> just saved a mans life who was being attacked by a,away by sudden loud noises,according to bear experts bears are easily scared away by sudden loud noises ideally made,agree,agree
226,9884,<unknown> the intersex cat to get gender assignment       ,helping the family raise <unknown>,the cost <number> which a friend is helping the family raise <unknown> says it 's,agree,agree
227,9888,grieving afghan mother takes bloody revenge by killing <number> taliban militants during seven hour battle,on the taliban for killing,the mother of an afghan cop took revenge on the taliban for killing her son,agree,agree
228,9896,<unknown> spouse chops off unfaithful husband 's manhood twice      ,lung <number> discovered her husband,when feng lung <number> discovered her husband was having an affair she cut off his,agree,agree
229,9909,wife chops off cheating husbands penis twice        ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
230,9948,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,n't to everyone 's taste,i know that sort of <unknown> is n't to everyone 's taste but my granddaughter,agree,agree
231,9950,<unknown> <unknown> personal doctor denies taking <unknown> selfie       ,    ,              ,agree,agree
232,10063,video of steven <unknown> slaying by isis is authentic us confirms    ,from syria in august <number>,steven <unknown> disappeared while reporting from syria in august <number> but his family kept the,agree,agree
233,10099,gender assignment surgery to be given to <unknown> cat      ,<unknown> last year a liverpool,and as for a fellow <unknown> last year a liverpool cat with both male and,agree,agree
234,10244,i will have justice for what they did to me pregnant st louis woman loses,has blurry vision in the,<unknown> has lost sight in her left eye and has blurry vision in the other,agree,agree
235,10296,man in china recovering in hospital after wife chopped off his penis   ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
236,10349,evil aunt hacks off <unknown> penis         ,<unknown> <unknown> <number> was <unknown>,<unknown> <unknown> <number> was <unknown> the boy for her sister and became so <unknown> at,agree,agree
237,10376,wife chopped her husband 's penis off after she discovered he had <unknown> on her,lung <number> discovered her husband,when feng lung <number> discovered her husband was having an affair she cut off his,agree,agree
238,10447,afghan family kills <number> in revenge for son 's death     ,bravery of this family and,we are proud of the bravery of this family and this is a saga that,agree,agree
239,10459,south korean woman freed by firefighters after robot vacuum cleaner <unknown> her hair as she,likelihood of this type accident,the likelihood of this type accident occurring is undoubtedly more significant in countries with a,agree,agree
240,10516,<unknown> cat buried cat <unknown> way out of grave after being left for dead ,humane society of tampa bay,doctors at the humane society of tampa bay are scheduling surgery to save <unknown> life,agree,agree
241,10590,this <unknown> cat returned home five days after being buried by its owner  ,showed up in a neighbor,five days later the cat showed up in a neighbor 's yard alive but weak,agree,agree
242,10637,transgender teen <unknown> <unknown> <unknown> suicide by walking in front of semi truck blames christian,cried of happiness after <number>,when i was <number> i learned what transgender meant and cried of happiness after <number>,agree,agree
243,10689,third <unknown> likely a hoax          ,her facebook account tuesday <unknown>,<unknown> said on her facebook account tuesday <unknown> <unknown> is her real name she also,agree,agree
244,10703,south korean woman 's hair eaten by robot vacuum cleaner as she slept  ,likelihood of this type accident,the likelihood of this type accident occurring is undoubtedly more significant in countries with a,agree,agree
245,10747,<unknown> spouse chops off unfaithful husband 's manhood twice      ,<unknown> off with a pair,the <unknown> <unknown> and joy was <unknown> off with a pair of scissors as he,agree,agree
246,10795,this third <unknown> is probably only real in our hearts     ,add an <unknown> so <unknown>,the doctor who performed the surgery could n't add an <unknown> so <unknown> had one,disagree,disagree
247,11018,angry indian bride <unknown> wedding guest         ,    ,              ,agree,agree
248,11075,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,<unknown> <unknown> told abc news,i was so shocked owner <unknown> <unknown> told abc news i didnt know really what,agree,agree
249,11105,i will have justice for what they did to me pregnant st louis woman loses,or anything i was just,i didnt have any weapons i wasnt looting or anything i was just out with,agree,agree
250,11188,children used to replace fighting dogs         ,<unknown> of the fights are,and in a bizarre twist the <unknown> of the fights are <unknown> just like a,agree,agree
251,11189,bieber <unknown> <unknown> bear saves man 's life       ,    ,              ,agree,agree
252,11224,boy <number> billed with no show fee for missing friend 's birthday party  ,a joke to begin with,i thought it was a joke to begin with i am lost for words <unknown>,agree,agree
253,11253,woman pays <number> for third <unknown> to make herself less attractive to men  ,<unknown> <unknown> contacted over <number>,<unknown> <unknown> contacted over <number> doctors before she found a <unknown> who was willing to,agree,agree
254,11277,argentina president <unknown> young jewish boy as <unknown> to prevent him from turning into <unknown>,<unknown> de <unknown> met <unknown>,president <unknown> <unknown> de <unknown> met <unknown> <unknown> and his family at her office last,agree,agree
255,11295,miracle cat <unknown> from the dead five days after burial     ,out of the ground and,but somehow he says <unknown> dug its way out of the ground and wound up,agree,agree
256,11319,disgusting <unknown> <unknown> <unknown> <unknown> <unknown> sick selfie exposed last photo of comic icon when,<unknown> performed the unauthorized <unknown>,it was only a few minutes later that dr <unknown> performed the unauthorized <unknown> that,agree,agree
257,11328,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,<unknown> century argentina that some,fear of the <unknown> was so rife in <unknown> century argentina that some families abandoned,agree,agree
258,11368,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,the president and <unknown> witnessed,last week 's unusual ceremony between the president and <unknown> witnessed by his parents and,agree,agree
259,11380,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
260,11391,hong <unknown> protesters <unknown> <unknown> hands up dont shoot      ,to democratic elections in <number>,in addition to democratic elections in <number> and continued autonomy for hong <unknown> as previously,agree,agree
261,11422,<unknown> cat named <unknown> to get gender <unknown>       ,male and female genitalia is,<unknown> a stray cat with both male and female genitalia is to undergo gender <unknown>,agree,agree
262,11451,woman bit by scorpion on alaska airlines flight is chill as hell   ,tinkle 's account of how,the <unknown> newspaper also confirms tinkle 's account of how the scorpion made it onto,agree,agree
263,11465,saudi <unknown> religious police <unknown> <unknown> eyes        ,women to cover their eyes,the men of the committee will interfere to force women to cover their eyes especially,agree,agree
264,11522,transgender teen <unknown> <unknown> <unknown> suicide by walking in front of semi truck blames christian,cried of happiness after <number>,when i was <number> i learned what transgender meant and cried of happiness after <number>,agree,agree
265,11629,woman cuts off husband 's penis twice after catching him cheating    ,happening and found the patient,staff rushed out to see what was happening and found the patient with blood streaming,agree,agree
266,11785,no joke <unknown> billed for missing friends birthday party      ,by his <unknown> 's mother,an <unknown> for <number> was sent by his <unknown> 's mother julie lawrence who said,agree,agree
267,11803,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,that she feels the police,<unknown> also remained optimistic for thanksgiving but made it clear that she feels the police,agree,agree
268,11921,school pupil writes moving letter to her teacher after he comes out as gay ,a <unknown> student after he,a teacher has shared a touching note he received from a <unknown> student after he,agree,agree
269,11952,scorpion <unknown> woman on <unknown> plane         ,tinkle 's account of how,the <unknown> newspaper also confirms tinkle 's account of how the scorpion made it onto,agree,agree
270,12087,justin bieber helps defend russian fisherman from bear       ,mobile phone rang the <unknown>,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
271,12089,florida woman gets third <unknown> surgically <unknown>        ,a reality tv show but,tough to say how this may affect her prospects for a reality tv show but,disagree,disagree
272,12159,the men caught <unknown> and wolf <unknown> their own mothers hilarious tv show <unknown> women,realises he has just <unknown>,she then removes her sunglasses and the man then realises he has just <unknown> his,agree,agree
273,12171,woman <unknown> by scorpion on alaska airlines flight       ,and checked the overhead <unknown>,cabin crew killed the arachnid and checked the overhead <unknown> for any other creatures ,agree,agree
274,12239,saudi arabia <unknown> <unknown> eyes          ,parental because i told you,the parental because i told you so argument lacks logic and rationale but such is,agree,agree
275,12504,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,latin american president with a,evidently the chance meeting of a latin american president with a <unknown> myth too good,disagree,disagree
276,12637,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,although his penis would never,the <unknown> <unknown> added that although his penis would never work again due to the,agree,agree
277,12698,<unknown> plans to break in two         ,move first reported sunday by,the impending move first reported sunday by the wall street journal set off a round,agree,agree
278,12702,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> cinema against aids <unknown>,justin bieber at <unknown> 's <unknown> cinema against aids <unknown> photo getty   ,agree,agree
279,12722,airline passenger freaks out over crew 's merry christmas greeting     ,while boarding his flight the,dont say merry christmas the man said while boarding his flight the new york post,agree,agree
280,12825,sexually frustrated female <unknown> killed male because his penis was too small   ,in other words he wasnt,in other words he wasnt a suitable lover and we assume that after failing to,agree,agree
281,12898,hong <unknown> protesters go ferguson style hands up dont shoot     ,to democratic elections in <number>,in addition to democratic elections in <number> and continued autonomy for hong <unknown> as previously,agree,agree
282,12918,these men <unknown> their <unknown> mothers is the best payback ever    ,    ,              ,agree,agree
283,12934,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,week first the <unknown> <unknown>,the <unknown> hell cat pictured above has had a shitty week first the <unknown> <unknown>,agree,agree
284,12946,argentina president <unknown> jewish <unknown> for first time in country 's history   ,    ,              ,agree,agree
285,13098,wife chopped her husband 's penis off after she discovered he had <unknown> on her,staff found the patient with,staff found the patient with blood streaming down his legs hitting the woman he was,agree,agree
286,13109,woman pays <number> for third <unknown> to make herself less attractive to men  ,it was really hard finding,i called <number> doctors it was really hard finding someone who would do it too,agree,agree
287,13139,president of argentina <unknown> <unknown> to stop him from turning into a <unknown>  ,established in <number> and was,the tradition was established in <number> and was extended to baby girls in <number> ,agree,agree
288,13193,five-year-old boy gets a bill for missing school friend 's birthday party   ,that he accepted the <unknown>,the boys father derek <unknown> said that he accepted the <unknown> <unknown> about a prior,agree,agree
289,13250,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,    ,              ,agree,agree
290,13275,afghan mother kills <number> taliban fighters in <unknown> <unknown> after watching her son slain in,<unknown> <unknown> added the fighting,her <unknown> <unknown> added the fighting was intensified when we reached the battlefield along with,agree,agree
291,13284,a <unknown> girl gave this <unknown> letter to her teacher after he came out as,youre gay i will always,even though youre gay i will always treat you the same way as i do,agree,agree
292,13388,<unknown> to split in <number> companies         ,off <unknown> technologies a <number>,<unknown> in <number> spun off <unknown> technologies a <number> a maker of <unknown> gear and,agree,agree
293,13437,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,fear of the people in,the country began to introduce adoption procedures to quell the fear of the people in,agree,agree
294,13652,miracle cat <unknown> its way out of its own grave five days after being buried,they think he <unknown> his,they think he <unknown> his way out of the ground before hiding for several days,agree,agree
295,13774,<unknown> woman outed as fake by tampa police       ,she hopes will be picked,yes <unknown> purports to be <unknown> a reality series she hopes will be picked up,agree,agree
296,13775,no argentina 's president did not <unknown> a jewish child to stop him turning into,latin american president with a,evidently the chance meeting of a latin american president with a <unknown> myth too good,agree,agree
297,13818,argentina 's president didnt <unknown> a jewish child to avoid becoming a <unknown> so what,latin american president with a,evidently the chance meeting of a latin american president with a <unknown> myth too good,agree,agree
298,13832,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,    ,              ,agree,agree
299,13837,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,car was in a pool,<unknown> who seemed to have been hit by a car was in a pool of,agree,agree
300,13873,the <unknown> was sick so the bride married a guest at her wedding in a,<unknown> <unknown> <unknown> a resident,all was going well at the wedding ceremony of <unknown> <unknown> <unknown> a resident of,agree,agree
301,13939,justin bieber saved this guy from a bear attack      ,justin bieber saved a russian,justin bieber saved a russian fisherman from the <unknown> of a killer bear  ,agree,agree
302,13960,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,rife in the country that,fear was so rife in the country that families would often give up their <unknown>,agree,agree
303,14038,miracle cat <unknown> from the dead five days after burial     ,<unknown> will be back home,despite the difficult days ahead the humane society expects that <unknown> will be back home,agree,agree
304,14086,man in china recovering in hospital after wife chopped off his penis   ,<unknown> off with a pair,the <unknown> <unknown> and joy was <unknown> off with a pair of scissors as he,agree,agree
305,14107,update children used as dogs in fights        ,<unknown> of the fights are,and in a bizarre twist the <unknown> of the fights are <unknown> just like a,agree,agree
306,14119,<unknown> <unknown> brain surgery teen wakes up <unknown> on table chats about cat  ,<unknown> <unknown> <number> went through,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
307,14149,no the world 's oldest tree has not been accidentally cut down by <unknown> in,down by <unknown> in <unknown>,reports that the worlds oldest tree has been accidentally chopped down by <unknown> in <unknown>,agree,agree
308,14168,charlie hebdo top cop <unknown> <unknown> kills himself hours after magazine massacre   ,french police officer investigating the,a senior french police officer investigating the charlie hebdo magazine massacre killed himself just hours,agree,agree
309,14188,rise of the <unknown> cat pet who was killed and buried by his owner climbed,<unknown> said he asked his,<unknown> said he asked his friend to help bury the <unknown> old cat because the,agree,agree
310,14224,saudi arabia <unknown> <unknown> eyes          ,parental because i told you,the parental because i told you so argument lacks logic and rationale but such is,agree,agree
311,14254,gay teacher receives touching letter from student <number> after he comes out   ,<unknown> <unknown> december <number> <number>,<unknown> <unknown> december <number> <number>          ,agree,agree
312,14354,news read the touching letter this <unknown> girl sent her teacher after he came out,have to feel scared because,you dont have to feel scared because i know that everyone in the class feels,agree,agree
313,14363,transgender teen <unknown> <unknown> blames christian parents in <unknown> suicide note    ,for the better the life,please dont be sad its for the better the life i wouldve lived isnt worth,agree,agree
314,14410,the story of the <unknown> lady is as fake as her third <unknown>  ,reports that the bag was,tmz reports that the bag was stolen off of an american airlines <unknown> belt and,agree,agree
315,14500,a justin bieber <unknown> just saved a mans life who was being attacked by a,<number> pm on tuesday a,just after <number> pm on tuesday a story started picking up some serious online momentum,disagree,disagree
316,14524,outrage as children <unknown> dog fighting         ,of between <unknown> and <unknown>,other children placed bets of between <unknown> and <unknown>      ,agree,agree
317,14527,man saved from bear attack when his justin bieber ringtones goes off sending bear fleeing,    ,              ,agree,agree
318,14546,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,because you shared a personal,the reason why i say brave is because you shared a personal secret which was,agree,agree
319,14600,<unknown> to break into <number> companies         ,off <unknown> technologies a <number>,<unknown> in <number> spun off <unknown> technologies a <number> a maker of <unknown> gear and,agree,agree
320,14652,<unknown> to choose nevada for battery factory        ,is no word if the,there is no word if the factory will be built in northern or southern nevada,agree,agree
321,14722,hungry florida cat defies death digs its way out of grave to return home video,broken <unknown> and a dead,the <unknown> pet had severe trauma to his head a broken <unknown> and a dead,agree,agree
322,14740,tail of survival buried cat believed dead <unknown> back to life    ,exists a buried cat <unknown>,a real-life <unknown> cat truly exists a buried cat <unknown> his way out of his,agree,agree
323,14763,<unknown> blasts fake report alleging she was abused by bill <unknown> keep me out of,<unknown> on nov <number> <number>,a photo posted by <unknown> <unknown> on nov <number> <number> at <unknown> pst  ,agree,agree
324,14801,woman faces jail time after slicing off <unknown> nephew 's penis    ,<unknown> <unknown> <number> ran back,mother <unknown> <unknown> <number> ran back to the house after hearing her child scream by,agree,agree
325,14827,justin bieber helps defend russian fisherman from bear       ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
326,14836,<unknown> to split into two public companies        ,fourth year of its five-year,the firm is now in the fourth year of its five-year turnaround plan aimed at,agree,agree
327,14843,even though you 're gay i will always treat you the same way as i,british student wrote the <unknown>,the british student wrote the <unknown> note after the teacher told her class that he,agree,agree
328,14958,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,<unknown> they lit for <unknown>,the family met with <unknown> and presented her with a <unknown> they lit for <unknown>,agree,agree
329,14986,ferguson and hong <unknown> have one important thing in common     ,british rule hong <unknown> was,after <number> years of british rule hong <unknown> was returned to china in <number> but,agree,agree
330,15003,man in china recovering in hospital after wife chopped off his penis   ,phone to send the <unknown>,fan lung <number> used feng 's phone to send the <unknown> messages to <unknown> hung,agree,agree
331,15019,bieber <unknown> <unknown> bear saves man 's life       ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
332,15327,<unknown> cat <unknown> way out of grave and into our hearts    ,<unknown> will be back home,despite the difficult days ahead the humane society expects that <unknown> will be back home,agree,agree
333,15412,a justin bieber <unknown> just saved a mans life who was being attacked by a,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
334,15415,lisa <unknown> did not send <unknown> tweet about bill <unknown> twitter account fake  ,the <unknown> show from <number>,was <unknown> who played <unknown> 's daughter <unknown> on the <unknown> show from <number> to,agree,agree
335,15447,they 're fake woman who claims to have surgically <unknown> third <unknown> is a self-proclaimed,<unknown> plastic surgery told <unknown>,and dr dan greenwald of <unknown> plastic surgery told <unknown> i think its very extreme,agree,agree
336,15462,how 's it going teenager wakes up during brain surgery and asks doctors for progress,<unknown> <unknown> awoke during an,cen shock <unknown> <unknown> awoke during an operation to remove a <unknown> growth  ,agree,agree
337,15464,<unknown> spouse chops off unfaithful husband 's manhood twice      ,she then sliced off his,she then sliced off his genitals         ,agree,agree
338,15468,robot vacuum cleaner attacks south korea <unknown> 's hair      ,startled <unknown> called <number> koreas,the startled <unknown> called <number> koreas emergency telephone number fortunately paramedics quickly arrived at the,agree,agree
339,15498,children in dog fighting horror          ,used they are like <unknown>,these children are being used they are like <unknown> in a machine im sure some,agree,agree
340,15521,justin bieber <unknown> saved a russian fisherman during a bear attack    ,know that sort of <unknown>,he also justified his surprising <unknown> i know that sort of <unknown> is n't to,agree,agree
341,15586,woman adds third <unknown> by undergoing surgery to participate in reality show   ,family 's reaction to the,when asked about her family 's reaction to the creepy news of her third <unknown>,agree,agree
342,15614,no joke <unknown> billed for missing friends birthday party      ,mistake <unknown> said he didnt,by the time he realized the mistake <unknown> said he didnt have any contact information,agree,agree
343,15655,transgender teen who committed suicide left <unknown> note saying she would never be happy ,for the better the life,please dont be sad its for the better the life i wouldve lived isnt worth,agree,agree
344,15701,justin bieber <unknown> saved a russian fisherman during a bear attack    ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
345,15786,passenger tossed after flipping out over staffs merry christmas      ,off a flight at <unknown>,a man was tossed off a flight at <unknown> this week after he freaked out,agree,agree
346,15862,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,legend the seventh son born,according to an old argentinian legend the seventh son born after six boys with no,agree,agree
347,15921,man saved from bear attack thanks to his justin bieber <unknown>    ,and was walking towards the,i had parked my car and was walking towards the spot id marked out when,agree,agree
348,15924,passenger headed to dallas rages over merry christmas removed from plane    ,well what should i say,the agent replied well what should i say then      ,agree,agree
349,16116,argentina 's president just adopted a son so he wo n't turn into a <unknown>,    ,              ,agree,agree
350,16221,this <unknown> cat returned home five days after being buried by its owner  ,believe he may have <unknown>,fox <number> visited <unknown> on monday <unknown> say they believe he may have <unknown> consciousness,agree,agree
351,16283,argentina 's president just adopted a son so he wo n't turn into a <unknown>,feeding on <unknown> <unknown> babies,as well as feeding on <unknown> <unknown> babies and the flesh of the recently dead,agree,agree
352,16286,justin bieber basically saves a russian man from a bear     ,of the hit <unknown> track,at the sound of the hit <unknown> track the bear turned and fled back into,agree,agree
353,16320,hands up dont shoot comes to hong <unknown> <unknown> movement     ,<unknown> off during the <unknown>,young women felt safe enough to <unknown> off during the <unknown> in what other city,agree,agree
354,16342,american airlines boots man from plane after merry christmas <unknown> <unknown>    ,<unknown> before <unknown> the attendants,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
355,16362,girl <unknown> boyfriends penis in acid attack after video of them having sex goes viral,viral video that <unknown> has,in the viral video that <unknown> has seen to verify the claims <unknown> is seen,agree,agree
356,16369,<unknown> the intersex cat to get gender assignment       ,<unknown> before the <number> <unknown>,<unknown> will need to be both <unknown> and <unknown> before the <number> <unknown> surgery good,agree,agree
357,16394,wife chops off cheating husbands penis twice        ,<unknown> off with a pair,the <unknown> <unknown> and joy was <unknown> off with a pair of scissors as he,agree,agree
358,16422,<unknown> cat to get gender assignment surgery        ,<unknown> <unknown> and her <unknown>,<unknown> was adopted by <unknown> <unknown> and her <unknown> live in heart 's desire newfoundland,agree,agree
359,16573,transgender teen who committed suicide left <unknown> note saying she would never be happy ,went on to say that,the transgender teen went on to say that her parents would not allow her to,agree,agree
360,16604,justin bieber <unknown> saved a russian fisherman during a bear attack    ,someone added a detail to,at some point in making the leap to english someone added a detail to the,disagree,disagree
361,16633,korean <unknown> attacked by robot vacuum cleaner        ,feb <number> korea <unknown> a,seoul feb <number> korea <unknown> a powerful robot vacuum cleaner caused an unlikely accident involving,agree,agree
362,16674,<unknown> woman theyre not fake          ,crazy she told the the,well i am crazy she told the the news <unknown> show last week crazy people,agree,agree
363,16693,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,<unknown> <unknown> went for a,before <unknown> <unknown> went for a ride into the hell that engulfed st louis suburb,agree,agree
364,16735,adopting potential <unknown> is routine business for argentine presidents      ,<unknown> in <number> but were,the boy 's parents first applied for the medal and <unknown> in <number> but were,agree,agree
365,16766,justin bieber <unknown> <unknown> bear saves russian fisherman       ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
366,16805,rumours of my death are greatly exaggerated relax ladies <unknown> <unknown> is alive and kicking,internet that the <unknown> had,there were recent rumours on the internet that the <unknown> had passed away after suffering,agree,agree
367,16838,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,away by sudden loud noises,according to bear experts bears are easily scared away by sudden loud noises ideally made,agree,agree
368,16854,boy <number> billed with no show fee for missing friend 's birthday party  ,at school since the <unknown>,alex says his friend will no longer play with him at school since the <unknown>,agree,agree
369,16890,obama orders fed to <unknown> <unknown> currency        ,conversion to the <unknown> a,to help with the conversion to the <unknown> a new <unknown> website will launch in,agree,agree
370,16901,i will have justice for what they did to me pregnant st louis woman loses,    ,              ,agree,agree
371,17065,teen wakes up during brain surgery asks how its going     ,<unknown> <unknown> <number> went through,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
372,17084,woman bit by scorpion on alaska airlines flight is chill as hell   ,alaska airlines flight <number> to,the unidentified woman was struck on the hand on alaska airlines flight <number> to portland,agree,agree
373,17117,argentina 's president <unknown> jewish boy to keep him from turning into a <unknown> ,out of a fantasy <unknown>,although this sounds like something straight out of a fantasy <unknown> the president last week,agree,agree
